Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
Seven Brides for Seven Brothers;0;1954;tt0047472;NA;NA;NA;102;7,4;139;53;0;Comedy
Three Coins in the Fountain;0;1954;tt0047580;NA;NA;NA;102;6,3;39;16;0;Drama
Marty;1;1955;tt0048356;343000;NA;NA;90;7,7;134;65;0;Drama
Love Is a Many-Splendored Thing;0;1955;tt0048316;NA;NA;NA;102;6,6;59;27;2;Biography
Mister Roberts;0;1955;tt0048380;NA;NA;21200000;123;7,8;83;23;1;Comedy
Picnic;0;1955;tt0048491;NA;NA;NA;115;7,2;114;41;1;Drama
The Rose Tattoo;0;1955;tt0048563;NA;NA;NA;117;7,2;34;17;0;Comedy
Around the World in 80 Days;1;1956;tt0327437;110000000;7576132;24004159;120;5,8;191;187;0;Action
Friendly Persuasion;0;1956;tt0049233;3000000;NA;8000000;137;7,5;56;21;1;Drama
Giant;0;1956;tt0049261;5400000;5649;169928;201;7,7;157;93;0;Drama
The King and I;0;1956;tt0049408;4550000;NA;21300000;133;7,5;86;33;0;Biography
The Ten Commandments;0;1956;tt0049833;13282712;NA;80000000;220;7,9;237;54;1;Adventure
The Bridge on the River Kwai;1;1957;tt0050212;3000000;NA;27200000;161;8,2;277;122;1;Adventure
12 Angry Men;0;1957;tt0050083;350000;NA;NA;96;8,9;931;176;0;Crime
Peyton Place;0;1957;tt0050839;NA;NA;25600000;157;7,2;83;22;0;Drama
Sayonara;0;1957;tt0050933;NA;NA;26300000;147;7,3;34;22;1;Drama
Witness for the Prosecution;0;1957;tt0051201;3000000;NA;9000000;116;8,4;208;75;1;Crime
Gigi;1;1958;tt0051658;3319355;NA;NA;115;6,9;116;69;0;Comedy
Auntie Mame;0;1958;tt0051383;2240000;NA;23300000;143;8;107;19;0;Comedy
Cat on a Hot Tin Roof;0;1958;tt0051459;3000000;NA;17570324;108;8,1;143;69;0;Drama
The Defiant Ones;0;1958;tt0051525;NA;NA;NA;96;7,7;70;23;0;Crime
Separate Tables;0;1958;tt0052182;NA;NA;7400000;100;7,5;64;21;0;Drama
Ben-Hur;1;1959;tt0052618;15900000;NA;70000000;212;8,1;383;119;0;Adventure
Anatomy of a Murder;0;1959;tt0052561;NA;NA;11000000;160;8,1;195;95;0;Crime
The Diary of Anne Frank;0;1959;tt0052738;3000000;NA;5014000;180;7,4;51;33;1;Biography
The Nun's Story;0;1959;tt0053131;3500000;NA;12800000;149;7,6;85;25;1;Drama
